organization/TMC,Dataset ID,Donor ID,Organ ID,Direct Ancestor Tissue Sample ID,Dataset Name (optional),Organ/Tissue,Assay,Data Modality,Pipeline processed? (Blood / Ruffalo),TMC/RTI/TTD vs. HIVE processed?  (Blood / Ruffalo),Human Curated? (Briggs),TMC signed off on dataset,Donor metadata received,Donor metadata ingested? (Silverstein),Contains ID-able seq data (Brusko),Reference IRB,IRB data classification,File types included,"Size of data set (i.e. cells, or other relevant proxy)",Instrument name,Instrument model,Application software name,Application software version,globusUrl,localPath,createdBy,creationDate,Flow cell,Sequencing Library pool concentration,PhiX%,Sequencing read format,Paired/Single End,Sequencing Chemistry,reference genome,Preprocessing pipeline,# Cells returned post sequencing,% reads in cells,mean reads/cell,median genes/cell,Sample Index well ID,
UCSD/WASHU,HBM926.LQPP.353,UCSD0002,UCSD0002-RK,UCSD0002-RK-1-1-1,BUKMAP_20190529A_SNARE2-R,kidney,SNAREseq2,Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,3403,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/3ddc25fa696e01a84514f8194f52df72,/hive/hubmap/lz//University of California San Diego TMC/3ddc25fa696e01a84514f8194f52df72,b1lake@ucsd.edu,2019-12-31 20:06:26,,,,,,,,,,,,,,
UCSD/WASHU,HBM283.TSZC.443,UCSD0002,UCSD0002-RK,UCSD0002-RK-1-1-1,BUKMAP_20190529A_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,857,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/ea42a70873cd0eb7e2cc91fd6d79fc8b,/hive/hubmap/lz//University of California San Diego TMC/ea42a70873cd0eb7e2cc91fd6d79fc8b,b1lake@ucsd.edu,2019-12-31 20:34:50,,,,,,,,,,,,,,
UCSD/WASHU,HBM495.BLDC.993,UCSD0002,UCSD0002-RK,UCSD0002-RK-2-1-1,BUKMAP_20190529B_SNARE2-R,kidney,SNAREseq2,Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,2976,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/0778db468e06a7bfe5d24f3a456c887c,/hive/hubmap/lz//University of California San Diego TMC/0778db468e06a7bfe5d24f3a456c887c,b1lake@ucsd.edu,2019-12-31 20:38:47,,,,,,,,,,,,,,
UCSD/WASHU,HBM759.GLXZ.545,UCSD0002,UCSD0002-RK,UCSD0002-RK-2-1-1,BUKMAP_20190529B_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,4374,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/5f5a3aaa8329d0195bf57bc56713d8fd,/hive/hubmap/lz//University of California San Diego TMC/5f5a3aaa8329d0195bf57bc56713d8fd,b1lake@ucsd.edu,2019-12-31 20:40:50,,,,,,,,,,,,,,
UCSD/WASHU,HBM689.LCRJ.477,UCSD0003,UCSD0003-LK,UCSD0003-LK-1-1-1,BUKMAP_20190529C_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,15134,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/8953feeb9903730af955a4cbd6aade81,/hive/hubmap/lz//University of California San Diego TMC/8953feeb9903730af955a4cbd6aade81,b1lake@ucsd.edu,2019-12-31 20:44:33,,,,,,,,,,,,,,
UCSD/WASHU,HBM756.GZSH.268,UCSD0003,UCSD0003-LK,UCSD0003-LK-2-1-1,BUKMAP_20190529D_SNARE2-R,kidney,SNAREseq2,Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,22509,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/07975e1e99bcd25fef9e6c72c46a8922,/hive/hubmap/lz//University of California San Diego TMC/07975e1e99bcd25fef9e6c72c46a8922,b1lake@ucsd.edu,2020-01-10 18:36:26,,,,,,,,,,,,,,
UCSD/WASHU,HBM784.RVTS.872,UCSD0003,UCSD0003-LK,UCSD0003-LK-2-1-1,BUKMAP_20190529D_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,4701,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/74c08831f6c89b35d6df46bf88c3fbf0,/hive/hubmap/lz//University of California San Diego TMC/74c08831f6c89b35d6df46bf88c3fbf0,b1lake@ucsd.edu,2020-01-10 18:39:02,,,,,,,,,,,,,,
UCSD/WASHU,HBM433.XXZF.683,UCSD0003,UCSD0003-LK,UCSD0003-LK-2-2-1,BUKMAP_20190529E_SNARE2-R,kidney,SNAREseq2,Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,3738,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/4d3eb2a87cda705bde38495bb564c8dc,/hive/hubmap/lz//University of California San Diego TMC/4d3eb2a87cda705bde38495bb564c8dc,b1lake@ucsd.edu,2020-01-10 18:44:19,,,,,,,,,,,,,,
UCSD/WASHU,HBM832.FZXR.449,UCSD0003,UCSD0003-LK,UCSD0003-LK-2-2-1,BUKMAP_20190529E_SNARE2-AC,kidney,SNAREseq2,Epigenomics,Y,HIVE,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,6891,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/b4dc29f1b0bdc10ce57734655feb4428,/hive/hubmap/lz//University of California San Diego TMC/b4dc29f1b0bdc10ce57734655feb4428,b1lake@ucsd.edu,2020-01-10 18:46:23,,,,,,,,,,,,,,
UCSD/WASHU,HBM425.ZCSZ.825,UCSD0004,UCSD0004-RK,UCSD0004-RK-1-1-1,BUKMAP_20190529F_SNARE2-R,kidney,SNAREseq2,Transcriptomics,Y,,N,,Y,,Y,https://drive.google.com/drive/folders/1L5jSF849IZJUtoMuMe_UA5TZTsrw6szK,Not human subjects research ,FASTQ,9829,NovaSeq,A00475,RTA,3.4.4,https://app.globus.org/file-manager?origin_id=28bbb03c-a87d-4dd7-a661-7ea2fb6ea631&origin_path=/University%20of%20California%20San%20Diego%20TMC/d31aa4d63ee3f71965fc7bccb3ef3d02,/hive/hubmap/lz//University of California San Diego TMC/d31aa4d63ee3f71965fc7bccb3ef3d02,b1lake@ucsd.edu,2020-01-02 17:00:48,,,,,,,,,,,,,,
